Song,Film/Album,Artists
Ami Cheyechhi Tomay,Jodi Kabhu Dure Chole Jai,Dhananjay Bhattacharya
Katha Dao Bhulbe Na Go,Kaatha Daao Bhulbe Nago,Mrinal Chakraborty
E Madhu Sandhya,Kali Aamar Maa,Srikanto Acharya
Ei Rate Ektukhani Kache,Kalyani Black Label,Abira Roy
Ei Rate Ektukhani Kache,Kalyani Black Label Strongolden Hourits Remix,Abira Roy
Dagar Chokhe Nagor,Kavi,Asha Bhosle
Khela Khela Diye Shuru,Khela,Srikanto Acharya
Kuhu Kuhu Koyel Jodi Dake,Kuhu Kuhu Koyel Jadi Dake,Madhuri Chatterjee
Keno Tumi Amake Je Eto Bhalobaso,Kuhu O Keya,Kumar Sanu
Tomar Chokher Tara,Kumar Sanu Ek Kanyake,Kumar Sanu
Phool Phool Phool Phool,Kumar Sanu Bhalobashar,Kumar Sanu
Tomai Dekhe Mone Holo,Kumar Sanu Bhalobashar,Kumar Sanu
Tomar Samudra,Kumar Sanu Bhalobashar,Kumar Sanu
Tumi Dekho Na,Kumar Sanu Bhalobashar,Kumar Sanu
Tumi Aar Aami Shudhu,Kumar Sanu Bhalobasi Aami,Kumar Sanu
Saptodingate Bhese Bhese,Kumar Sanu Amaar,Kumar Sanu
Tomar Sahar Sonar Sahar,Maach Mishti And More,Ishita Chakravarty
Tomar Sahar Sonar Sahar,Kumar Sanu Amaar,Kumar Sanu
Sona Re Sona,Shap Mochan,
Sona Re Sona,Maa Amar Maa,Sadhana Sargam
Sona Re Sona,Jatileswar Mukherjee Kathay,
Ami Jodi Bhir Hoye Jai,Maach Mishti And More,Ishita Chakravarty
Dekha Habe,Jatileswar Mukherjee Kathay,Rupankar Bagchi
Dekha Habe,Maach Mishti And More,Rupankar Bagchi
Dekha Habe,Indranil Sen Aha Chandrabali,Rupankar Bagchi
Samoy,Madly Bangali,Tanya Sen
Tania,Madly Bangali,Arka Mukherjee
Bare Bare Ke Jeno Dake,Manabendra All Time Greats,Manabendra Mukherjee
Madhumaloter Bone,Golden Hour Tarun Banerjee,Kumar Sanu
Madhumaloter Bone,Manabendra All Time Greats,Manabendra Mukherjee
Na Jeo Na Madhujamaini,Manabendra Mukherjee,Manabendra Mukherjee
Shono Shono Kathati Shono,Matite Janma Nilam,Dhananjay Bhattacharya
Bhalobasha Juge Juge,Mayer Ashirbad,"Andrew Kishore, Sabina Yasmin"
O Sathire,,Koushik Devnath
O Sathire,Meghduth Kausik Devnath,Koushik Devnath
Esho Esho,,Jayati Chakraborty
Esho Esho,Megher Bari Jayati,Jayati Chakraborty
Mon Bolchhe Aaj Sandhyay,Memorable Melodies Of,Alpana Banerjee
Aakasher Satti Tara,Metho Chand Kumar Sanu,Kumar Sanu
Tomay Ami Dekhe Chilam Je,Metho Chand Kumar Sanu,Kumar Sanu
Chiki Chiki Chuku Chuku,Miss Maitreyee,Kavita Krishnamurthy
Dure Theko Na,Monihar,Suman Kalyanpur
Path Nirjan Chalo Na Ekhon,Mrinal Chakroborty Modern,Mrinal Chakraborty
Kije Bhalo Lage Majhe Majhe Pashe,,Kumar Sanu
Kije Bhalo Lage Majhe Majhe Pashe,Na Hanyate Rupam Islam,Rupam Islam
Mon Amar,Na Jene Mon,Akriti Kakkar
Du Chokhe Nirab Bhasaa,Naktala Udayan Sangha,Anwesha Duttagupta
Emon Ami Ghar Bendhechhi,Natun Jiban,Hemanta Mukherjee
