Song,Film/Album,Artists
Rahegi Rahegi Ye Dosti,Awaragardi,"Kumar Sanu, Udit Narayan"
Mujhe Pyar Ka Dard,Aye Meri Bekhudi,Kumar Sanu
Khaai Hai Kasam,Baaghi,"Kumar Sanu, Kavita Krishnamurthy"
Tumhi Ko Chahata Hai Dil,Baaghi,Kumar Sanu
Aakho Se Aakhe Milau To,Baali Umar Ko Salam,Kumar Sanu
Darte Darte Tum Kaho Kuch,Baali Umar Ko Salam,Kumar Sanu
Ding Dong Ding Dong,Baali Umar Ko Salam,Kumar Sanu
Meri Zindagi Teri Chahat Ke Naam,Baali Umar Ko Salam,"Kumar Sanu, Alka Yagnik, Rajshree Biswas"
Yeh Pyar Ka Mausam,Baap Bete,"Kumar Sanu, Vani Jairam"
Ek Ladki Ho Gayi Raji,Baarish,"Kumar Sanu, Sadhana Sargam"
Baazigar O Baazigar,Baazigar,"Kumar Sanu, Alka Yagnik"
Tere Chehre Pe,Baazigar,"Kumar Sanu, Sonali Bajpai"
Yeh Kaali Aankhen,Baazigar,"Kumar Sanu, Anu Malik"
Dil Churane Wale,Bachke Rehna Re Baba,"Kumar Sanu, Alka Yagnik"
Kahta Hai Yeh Safar,Bada Din,"Kumar Sanu, Alka Yagnik"
Suno Zara,Bada Din,Kumar Sanu
Hon Tha Jo Ho Gaya,Badmaash,"Kumar Sanu, Kavita Krishnamurthy, Sadhana Sargam"
Pehle Nahin Thi Kabhi,Badmaash,Kumar Sanu
Dil Mein Ho Tum,Badmash No.1,"Kumar Sanu, Kavita Krishnamurti"
Yeh Khamoshi Mere Hum Nashi,Bahaar Aane Tak,"Kumar Sanu, Anuradha Paudwal"
Sabse Badi Dosti Yaar,Baharon Ke Manzil,"Kumar Sanu, Poornima, Udit Narayan, Suresh Wadkar"
Tak Dhin Tak Dhin,Baharon Ke Manzil,"Kumar Sanu, Suresh Wadkar, Udit Narayan"
Agar Zindagi Ho,Balmaa,"Kumar Sanu, Asha Bhosle"
Bansuriya Ab Yeh Pukare,Balmaa,"Kumar Sanu, Asha Bhosle"
Yeh Mausam Bhi Gaya,Balmaa,"Kumar Sanu, Alka Yagnik"
Kya Cheez Ye Mohabbat Hai,Balwaan,"Kumar Sanu, Kavita Krishnamurthy"
Chori Chori Iqrar,Bambai Ka Babu,"Kumar Sanu, Udit Narayan, Sadhna Sargam, Alka Yagnik"
Ham Nikal Pade,Bambai Ka Babu,Kumar Sanu
Honge Kabhi Ab Na Juda,Bambai Ka Babu,Kumar Sanu
Mere Ghar Ka Pata,Bambai Ka Babu,Kumar Sanu
Sapne Hain Yaadein Hain,Bambai Ka Babu,Kumar Sanu
Meri Gori Gori Bahein,Banarasi Babu,"Kumar Sanu, Alka Yagnik"
Bandhan (Sad),Bandhan,Kumar Sanu
Bandhan (Title),Bandhan,Kumar Sanu
Tere Dum Se Hai Mera Dum,Bandhan,Kumar Sanu
Chalo Chalein Sathiya,Bandhu,"Kumar Sanu, Asha Bhosle"
Aa Tujhe Main Pyar Dun,Bandish,"Kumar Sanu, Alka Yagnik, Poornima"
Bole Mera Kangna,Bandish,Kumar Sanu
Maine Aapna Dil De Diya,Bandish,Kumar Sanu
Ek Ladki Ek Ladka,Barood,Kumar Sanu
Hum To Tujhse Mohabbat,Barood,"Kumar Sanu, Alka Yagnik"
Barsaat Ke Din Aye,Barsaat,"Kumar Sanu, Alka Yagnik"
Dil Pagal Deewana Hai,Barsaat,Kumar Sanu
Humko Padhaai Se,Barsaat,Kumar Sanu
Humko Sirf Tumse Pyar Hai,Barsaat,"Kumar Sanu, Alka Yagnik, Sadhana Sargam"
Love Tujhe Love,Barsaat,Kumar Sanu
Nahin Ye Ho Nahin Sakta,Barsaat,Kumar Sanu
Mujhko Tumse Pyar Hai,Bechain,Kumar Sanu
Na Meri Zubaan Pe,Bedardi,"Kumar Sanu, Alka Yagnik"
