Song,Film/Album,Artists
Rai Jago Rai Jago Bole,Rai Jago Amar Paul,Amar Paul
Golemale Gole Male Pirit Koiro Na,Rai Jago Various,Purnadas Baul
Amar Barir Kachhe,Rangila Mon Dilam,Kana Bhadra
Amar Sonar Gour,Rupantaree,Amar Paul
Ami Kothay Pabo Tare,Rupantaree,Dinendra Chowdhury
Horinam Diye Jagat Matale,Rupantaree,Amar Paul
Ak Hater Taiari,Rupsagarer,Dohar
Amar Bhanga Naoer,Rupsagarer,Dohar
Baro Mase Tero Phul,Sabi Aachhe Jana,Sankar Goswami
Baro Mase Tero Phul,Rupsagarer,Dohar
Chandrahar,,Purnadas Baul
Chandrahar,Rupsagarer,Dohar
Dohar Bandana,Rupsagarer,"Purnadas Baul, Dohar"
Prem Kara,Rupsagarer,Dohar
Sairon Bajlo,Rupsagarer,Dohar
Montari Boli,,Purnadas Baul
Montari Boli,Sabi Aachhe Jana,Sankar Goswami
Ore Haar Mor Jwoliya Gelo,,Gosthogopal Das
Ore Haar Mor Jwoliya Gelo,Sadher Lau Folk Various,Gosthogopal Das
Thakur Jamai,Sadher Lau Folk Various,Swapna Chakraborty
Je Jon Premer Bhav Jane Na,Sadher Lau Folk Various,Runa Laila
O Shitalakhyaa Nadi,Sagar Kuler Naiya Bhatiyali,Bishnupada Das
E Bhabo Sagar Re,Sagar Kuler Naiya Bhatiyali,Amar Paul
Mon Majhi Samal Samal,Sagar Kuler Naiya Bhatiyali,Bishnupada Das
Ami Ei Ghater Majhi,Sanajit Mondal Tumi Nacho,Sanajit Mondal
Ami Tomar Sanghe,Sanajit Mondal Tumi Nacho,Sanajit Mondal
Kachi Bansher Kachi Daga,Sanajit Mondal Tumi Nacho,Sanajit Mondal
Nimaire Merechhi,Sanajit Mondal Tumi Nacho,Sanajit Mondal
Ami Kinya Anlam,Sanajit Mondal O Bangali,Sanajit Mondal
Ki Ananda Ki Ananda,Sanajit Mondal O Bangali,Sanajit Mondal
Machher Madhye Rui,Sujan Majhi Re Runa Laila,"Nirmalendu Chowdhury, Party, Sanajit Mondal"
Machher Madhye Rui,Orom Takiyo Na,"Nirmalendu Chowdhury, Party"
O Bangali Babu,,Sanajit Mondal
O Bangali Babu,Sanajit Mondal O Bangali,Sanajit Mondal
O Dada Balbo Ki Aar,,Sanajit Mondal
O Dada Balbo Ki Aar,Sanajit Mondal O Bangali,Sanajit Mondal
O Daraga Babu,Sanajit Mondal O Bangali,Sanajit Mondal
Pet Bhore Khasne Baul,Sanajit Mondal O Bangali,Sanajit Mondal
Nabir Nabi Noor,Sanajit Mondal Tumi Nacho,Sanajit Mondal
Nona Gange Sonar Tari,Sanajit Mondal Tumi Nacho,Sanajit Mondal
Tumi Dharmatalar Pathta,,Sanajit Mondal
Tumi Dharmatalar Pathta,Sanajit Mondal Tumi Nacho,Sanajit Mondal
O Babu Go Ki Jadu Jane Palli Gaan,Sanojit Swasur Bajay Dhol,Sanajit Mondal
Katha Koy Re Dekha Dey Na,Selected Songs Of Lalan,Prahlad Brahmachari
Na Bujhe Mojo Na Pirite,Selected Songs Of Lalan,Prahlad Brahmachari
"Padma Hase, Padma Kande",Sohag Chandbadani Dhani,"Anjali Roy, Nirmalendu Chowdhury"
Amar Mon Utala Hailo Sakhi,Sona Bandhure Anjali Roy,"Swapna Chakraborty, Anjali Roy"
Pidare Palasher Bon,Srijan Utsav 99 Folk,Kiriti Mahato
Dhanya Puruliya Mati,Srijan Utsav 99 Folk,Kirtibas Karmakar
Jyotishi Go Jyotishi,Sujan Majhi Re Runa Laila,"Swapna Chakraborty, Runa Laila"
Kaaje Rakhben Ni Go Ma,Sujan Majhi Re Runa Laila,Runa Laila
Oki Bondhu Kajal Bhramara Re,Sujan Majhi Re Runa Laila,Runa Laila
Sujan Majhi Re,,Runa Laila
Sujan Majhi Re,Sujan Majhi Re Runa Laila,Runa Laila
Taratari Bari Aaisya,Sanajit Mondal O Bangali,Runa Laila
Taratari Bari Aaisya,Sujan Majhi Re Runa Laila,Runa Laila
Tindiner Bairagi,Sujan Majhi Re Runa Laila,Runa Laila
Gajir Gaan,Swapan Basu Amar Kalo,Swapan Basu
Lal Shalukher Phul,Swapan Basu Amar Kalo,Swapan Basu
May Tui Jale Na Jaio,Swapan Basu Amar Kalo,Swapan Basu
Amar Antaray Amar Kalijay,Swapan Bose Folk,Swapan Basu
Teriya Kari Sita Pare,Swapan Bose Folk,Swapan Basu
Aamar E Naya Jouban,Swapan Bosu Baasbhumi,Swapan Basu
Chithi,Swapan Bosu Baasbhumi,Swapan Basu
Sona Bou,Swapan Bosu Baasbhumi,Swapan Basu
Pathale Go Ei Duniay,Swapna Chakraborty,Swapna Chakraborty
Badhu Tui Amaar Mon,Swapna Chakraborty,Swapna Chakraborty
E Parate Luba Na Bhikh,Swapna Chakraborty,Swapna Chakraborty
O Didi Tui Aar Katadin,Swapna Chakroborty,Swapna Chakraborty
Bali O Nanadi,Tumi Nacho Bengali Dance,Swapna Chakraborty
Bondhu Tin Din Tor Barite Gelam,Tumi Nacho Bengali Dance,Runa Laila
Tumi Nacho Sundari,Tumi Nacho Bengali Dance,Sanajit Mondal
Uthali Pathali Amar Buk,Ujan Bhatial,Utpalendu Chowdhury
Aage Ki Sundar Din Kaataaitaam,Zinat Aman O Chengra Moke,Zinat Aman
Aage Ki Sundar Din Kaataaitaam,Utpalendu Chowdhury Folk,Utpalendu Chowdhury
O Hore Bodhu Dhan Tomar,Zinat Aman O Chengra Moke,Zinat Aman
Sona Bandhur Lagiya,Sanajit Mondal Tumi Nacho,Zinat Aman
Sona Bandhur Lagiya,Zinat Aman O Chengra Moke,Zinat Aman
