Song,Film/Album,Artists
Hai Duniya Usiki Zamana Usika,Kashmir Ki Kali,Mohammed Rafi
Isharon Isharon Men Dil Lenewale,Kashmir Ki Kali,"Asha Bhosle, Mohammed Rafi"
Kahin Na Kahin Dil Lagana Padega,Kashmir Ki Kali,Mohammed Rafi
Meri Jaan Balle Balle,Kashmir Ki Kali,"Asha Bhosle, Mohammed Rafi"
Subhanallah Haseen Chehra,Kashmir Ki Kali,Mohammed Rafi
Taarif Karoon Kya Uski,Kashmir Ki Kali,Mohammed Rafi
Badi Der Bhai Nandlala,Khandan,Mohammed Rafi
Khilona Jan Kar Tum To,Khilona,Mohammed Rafi
Khush Rahe Tu Sada,Khilona,Mohammed Rafi
Do Sitaron Ka Zameen Par,Kohinoor,Lata Mangeshkar
Madhuban Mein Radhika Nache Re,Kohinoor,Mohammed Rafi
Chana Jor Garam,Kranti,Lata Mangeshkar
Barbad-E-Mohabbat Ki Dua,Laila Majnu,Mohammed Rafi
Hoke Mayus Tere Dar Se,Laila Majnu,"Mohammed Rafi, Aziz"
Is Reshmi Paazeb Ki Jhankar,Laila Majnu,Lata Mangeshkar
Tere Dar Pe Aaya Hoon,Laila Majnu,Mohammed Rafi
Unke Khayal Aaye To,Lal Patthar,Mohammed Rafi
Apni Azadi Ko Hum,Leader,Mohammed Rafi
Mujhe Duniyawalo Sharabi Na Samjho,Leader,Mohammed Rafi
Tere Husn Ki Kya Tarif Karun,Leader,Lata Mangeshkar
Aaj Mausam Bada Beimaan Hai,Loafer,Mohammed Rafi
Aa Ja Re Aa Zara Aa,Love In Tokyo,Mohammed Rafi
Le Gayi Dil Kudiya Jaapaan Ki,Love In Tokyo,Mohammed Rafi
O Mere Shahe-Khuban,Love In Tokyo,Mohammed Rafi
Dheere Dheere Chal Chand,Love Marriage,Lata Mangeshkar
Toote Huye Khwabon Ne,Madhumati,Mohammed Rafi
Dono Ne Kiya Tha Pyar,Mahua,Mohammed Rafi
Chala Bhi Aa Aaja Rasiya,Man Ki Aankhen,Mohammed Rafi
Chhadi Re Chhadi,Mausam,Lata Mangeshkar
Tasveer Teri Dil Mein,Maya,Lata Mangeshkar
Itna To Yaad Hai Mujhe,Mehboob Ki Mehndi,Mohammed Rafi
Ye Jo Chilman Hai,Mehboob Ki Mehndi,Mohammed Rafi
Yeh Jo Chilman Hai,Mehboob Ki Mehndi,Mohammed Rafi
Yeh Zindagi Ke Mele,Mela,Mohammed Rafi
Gori Ke Haath Mein,Mela,Mohammed Rafi
Rut Hai Milan Ki,Mela,Mohammed Rafi
Sadke Heer Tujh Pe,Mera Naam Joker,Mohammed Rafi
Aap Ke Pahloo Men Aakar,Mera Saaya,Mohammed Rafi
Hui Sham Unka Khayal Aa Gaya,Mere Hamdam Mere Dost,Mohammed Rafi
Na Ja Kahin Ab Na Ja,Mere Hamdam Mere Dost,Mohammed Rafi
Gham Uthane Ko,Mere Huzoor,Mohammed Rafi
Ruk Se Jara Naqaab,Mere Huzoor,Mohammed Rafi
Mere Mehboob Tujhe Meri Muhabbat,Mere Mehboob,Mohammed Rafi
Yaad Men Teri Jaag Jaag Ke Hum,Mere Mehboob,Lata Mangeshkar
Hamdam Mere Maan Bhi Jao,Mere Sanam,Mohammed Rafi
Pukarta Chala Hoon Main,Mere Sanam,Mohammed Rafi
Brindaban Ka Krishna Kanhaiya,Miss Mary,Lata Mangeshkar
O Raat Ke Musafir,Miss Mary,Lata Mangeshkar
O Gaadiwale,Mother India,"Mohammed Rafi, Shamshad Begum"
Jane Kahan Mera Jigar Gaya Ji,Mr.& Mrs.55,"Mohammed Rafi, Geeta Dutt"
Unchi Unchi Baaton Se,Mr.Natwarlal,Mohammed Rafi
Zindagi Ke Safar Mein,Nartaki,Mohammed Rafi
Ambe Tu Hai Jagdambe Kali,Navaratri,"Mohammed Rafi, Asha Bhosle"
Mang Ke Saath Tumhara,Naya Daur,"Mohammed Rafi, Asha Bhosle"
Uden Jab Jab Zulfen Teri,Naya Daur,"Mohammed Rafi, Asha Bhosle"
Yeh Desh Hai Veer Jawanon Ka,Naya Daur,"Mohammed Rafi, Balbir"
Ishwar Allah Tere Naam,Naya Raasta,Mohammed Rafi
Aaja Tujhko Pukare Mera Pyar,Neel Kamal,Mohammed Rafi
Babul Ki Duayen Leti Ja,Neel Kamal,Mohammed Rafi
Yun Rootho Na Haseena,Neend Hamari,Mohammed Rafi
Nazar Na Lag Jaye Kisiki Rahon Mein,Night In London,Mohammed Rafi
Tum Mujhe Yun Bhula Na Paoge,Pagla Kahin Ka,Mohammed Rafi
Chalo Dildar Chalo,Pakeezah,Mohammed Rafi
Woh Jab Yaad Aaye,Parasmani,Lata Mangeshkar
Thoda Ruk Jayegi To Tera Kya Jayega,Patanga,Mohammed Rafi
Pathar Ke Sanam,Pathar Ke Sanam,Mohammed Rafi
Ek Pardesi Mera Dil Le Gaya,Raj Kumar,Mohammed Rafi
Ek Pardesi Mera Dil Le Gaya,Phagun,"Mohammed Rafi, Asha Bhosle"
Hamdam Mere,Phir Wohi Dil Laya Hoon,"Mohammed Rafi, Asha Bhosle"
Lakhon Hain Nigahon Mein,Phir Wohi Dil Laya Hoon,Mohammed Rafi
Yeh Zulf Kaisi Hai,Piya Ka Ghar,Lata Mangeshkar
Main Jat Yamla Pagla Diwana,Pratiggya,Mohammed Rafi
Badan Pe Sitare Lapete Huye,Prince,Mohammed Rafi
Aawaz Deke Humen Tum Bulao,Professor,Lata Mangeshkar
Aye Gulbadan,Professor,Mohammed Rafi
Khuli Palak Mein Jhoota Gussa,Professor,Mohammed Rafi
Main Chali Main Chali,Professor,Lata Mangeshkar
Hum Aap Ki Ankhon Mein,Pyaasa,"Mohammed Rafi, Geeta Dutt"
Sar Jo Tera Chakraye,Pyaasa,Mohammed Rafi
Yeh Duniya Agar Mil Bhi Jaye To,Pyaasa,Mohammed Rafi
Dekha Hai Teri Aankhon Mein,Pyar Hi Pyar,Mohammed Rafi
Main Kahin Kavi Na Ban Jaoon,Pyar Hi Pyar,Mohammed Rafi
Ni Sultana Re,Pyar Ka Mousam,Lata Mangeshkar
Akele Hain Chale Aao,Raaz,Mohammed Rafi
Is Rang Badalti Duniya Mein,Raj Kumar,Mohammed Rafi
Tumne Kisi Ki Jaan Ko,Raj Kumar,Mohammed Rafi
Tumne Pukara Aur Hum Chale Aaye,,"Asha Bhosle, Mohammed"
Tumne Pukara Aur Hum Chale Aaye,Raj Kumar,Mohammed Rafi
Aaj Ki Raat Mere Dil Ki Salami Lele,Ram Aur Shyam,Mohammed Rafi
Ek Rasta Do Rahi,Ram Balram,"Mohammed Rafi, Kishore Kumar"
Saat Samundar Paar,Saat Samundar Paar,Mohammed Rafi
Yeh Mera Prem Patra,Sangam,Mohammed Rafi
Tum Jab Se Base More Nain,Sa-Re-Ga-Ma-Pa,Mohammed Rafi
Dafli Wale Dafli Baja,Sargam,Lata Mangeshkar
Ham To Chale Pardes,Sargam,Mohammed Rafi
Koyal Boli Duniya Doli,Sargam,Mohammed Rafi
Teri Pyari Pyari Soorat Ko,Sasural,Mohammed Rafi
Woh Hai Zara Khafa Khafa,Shagird,Lata Mangeshkar
Ae Watan Ae Watan,Shaheed,Mohammed Rafi
Pagdi Sambhal Jatta,Shaheed,Mohammed Rafi
Kabhi Na Kabhi Kahin Na Kahin,Sharabi,Mohammed Rafi
Ramaiya Vastavaiya,Shree 420,Lata Mangeshkar
Jahan Dal Dal Pe Sone Ki Chidiya,Sikander-E-Azam,Mohammed Rafi
Ae Yaar Sun Yaari Teri,Suhaag,"Mohammed Rafi, Asha, Bhosle, Shailendra Singh"
Atthara Baras Ki Tu Hone Ko,Suhaag,Mohammed Rafi
Teri Rab Ne Bana Di Jodi,Suhaag,"Rafi, Shailendra Singh, Asha Bhosle, Mohammed"
Baharo Phool Barsao,Suraj,Mohammed Rafi
Jo Wada Kiya Woh Nibhana Padega,Taj Mahal,Mohammed Rafi
Paon Chhoo Lene Do Phoolon Ko,Taj Mahal,Lata Mangeshkar
Palkon Ke Peechhe Se,Talash,Lata Mangeshkar
Aese To Na Dekho,Teen Devian,Mohammed Rafi
Kahin Bekhayal Hokar,Teen Devian,Mohammed Rafi
Aaja Aaja Main Hoon Pyar Tera,Teesri Manzil,"Asha Bhosle, Mohammed Rafi"
Deewana Mujhsa Nahin,Teesri Manzil,Mohammed Rafi
O Haseena Zulfonwale Jane Jahan,Teesri Manzil,"Asha Bhosle, Mohammed Rafi"
O Mere Sona Re Sona,Teesri Manzil,"Asha Bhosle, Mohammed Rafi"
Tumne Mujhe Dekha Hokar Meherban,Teesri Manzil,Mohammed Rafi
Dekho Rootha Na Karo,Tere Ghar Ke Samne,Mohammed Rafi
Dil Ka Bhanwar Kare Pukar,Tere Ghar Ke Samne,Mohammed Rafi
