Song,Film/Album,Artists
Baro Bedonar Mato,Lopa Mudra Kaan Pete Roi,Lopamudra Mitra
Amare Koro Tomar Bina,Lyza Ahmed Lisa Tagore,Laisa Ahmed Lisa
Aaji Ankhi Juralo Heriye,Madhur Milan,Sushil Mullick
Madhur Milan,Madhur Milan,Sushil Mullick
Ei To Bhalo Legechhilo,Mallodaan,Hemanta Mukherjee
Jani Jani Holo Jabar Ayojan,Manna Dey Retrospect,Manna Dey
Dekhe Ja Dekhe Ja,Matribandana,Prasad Sen
Na Chahile Jare Paoya Jaay,Megh O Roudra,"Manna Dey, Others"
Jaraye Achhe Badha,Hriday Basanta Bone Love,Swagatalakshmi Dasgupta
Jaraye Achhe Badha,Moho Abaran Aditi Gupta,Aditi Gupta
Kotha Chhili Sajoni Lo,,Aditi Gupta
Kotha Chhili Sajoni Lo,Moho Abaran Aditi Gupta,Aditi Gupta
Amar Paaran Jaha Chay,Mon Bhulay Re Shreya Guha,Shreya Guhathakurta
Helaphela Sarabela,Mon Kemon Kore,Aditi Gupta
"Na, Na Go Na",Mone Rekho Tagore Songs,Lopamudra Mitra
Udasini-Beshe Bideshini Ke Se,Mone Rekho Tagore Songs,Lopamudra Mitra
Aami Tomar Sange Bendhechhi,Moner Majhe Je Gaan Baaje,Rezwana Chowdhury Bannya
Pakhi Amar Neerer Pakhi,Mor Bina Kon Sure Baji,Arundhati Holme Chowdhury
Keno Bajao Kaankan,More Gems From Tagore,Santosh Sengupta
Mukhpane Cheye Dekhi,Naba Anande Jago Hemanta,Hemanta Mukherjee
Malin Mukhe Phutuk Hasi,Nilima Sen Tumi Bandhu,Nilima Sen
Malin Mukhe Phutuk Hasi,Naba Sohager Ragini,Promit Sen
Bina Saje Saji,Indrani Sen Alas Anyamone,
Bina Saje Saji,Nilima Sen Tumi Bandhu,Nilima Sen
Aay Tabe Sahochori,Nutan Jouboner Dut,Isheeta Ganguly
Hey Nirupama,Oi Malatilata Dole,Sagar Sen
Oke Dhorile To Dhora Debe Na,Oi Malatilata Dole,Sagar Sen
Joy Kore Tobu Bhoy Keno,Pankaj Kumar Mullick All,Pankaj Kumar Mullick
Ei Udasi Haowar Pathe Pathe,Path Bhola,Rupankar Bagchi
Amar Nayan Tomer Nayan Tale,Phire Esho Swagatalakshmi,Swagatalakshmi Dasgupta
Dware Keno Dile Nada,Phire Esho Swagatalakshmi,
Dware Keno Dile Nada,Rabindrasangeeter Dhara,Swagatalakshmi Dasgupta
Hay Atithi,Rabindra Sankalan Gaaner,
Hay Atithi,Phirey Eso Swagata Lakshmi,
Ore Chitrarekhadore,Pijushkanti Sarkar Bhaaber,Pijushkanti Sarkar
De Lo Sokhi - Promoda,Praner Hillol Debangana,Debangana Sarkar
De Pore De Amay,,Debangana Sarkar
De Pore De Amay,Praner Hillol Debangana,Debangana Sarkar
Eto Khela Noy - Promoda,Praner Hillol Debangana,Debangana Sarkar
O Manjori O Manjori,Praner Khela Iman,Iman Chakraborty
Aji Godhuli-Lagane Ei Badal-Gagane,Prem Esechhilo,Sagar Sen
"Pushpabone Pushpa Nahi, Achhe Antare",Prem Esechhilo,Sagar Sen
Utal Haowya Laglo Amar Gaaner Taranite,Prem Esechhilo,"Iman Chakraborty, Sagar Sen"
"Ebar Sakhi, Sonar Mriga",Prem Compilation Of Tagore,
Jodi Hay Jiban Puran Nai Holo,Puja O Prem Kanika,"Iman Chakraborty, Kanika Banerjee"
Anek Diner Amar Je Gaan,Puja O Prem Tagore Songs,Chinmoy Chatterjee
Jodi Prem Dile Na Prane,Rabi Kabir Gaane,Lopamudra Mitra
Dhara Diyechhigo Ami Akasher Pakhi,Rabindra Sangeet,Purabi Mukherjee
