Song,Film/Album,Artists
Jawani Jan-E-Man,Namak Halaal,Asha Bhosle
Raat Baaqi Baat Baaqi,Namak Halaal,"Asha Bhosle, Shashi"
Phir Se Aaiyo Badra Bidesi,Namkeen,Asha Bhosle
Ankhon Mein Kya Ji,Nau Do Gyarah,"Kishore Kumar, Asha Bhosle"
Pallu Latke,Nauker,"Asha Bhosle, Kishore Kumar"
Ambe Tu Hai Jagdambe Kali,Navaratri,"Mohammed Rafi, Asha Bhosle"
Are Ja Re Hat Natkhat,Navrang,"Asha Bhosle, Mahendra Kapoor"
Mang Ke Saath Tumhara,Naya Daur,"Mohammed Rafi, Asha Bhosle"
Reshmi Salwar Kurta Jali Ka,Naya Daur,"Asha Bhosle, Shamshad Begum"
Uden Jab Jab Zulfen Teri,Naya Daur,"Mohammed Rafi, Asha Bhosle"
Main Chali Main Chali,Padosan,"Lata Mangeshkar, Asha Bhosle"
Sa Re Ke Sa Re,Parichay,"Asha Bhosle, Kishore Kumar"
Thande Thande Paani Se Nahana,Pati Patni Aur Woh,Asha Bhosle
Chhod Do Aanchal Zamana Kya Kahega,Paying Guest,"Kishore Kumar, Asha Bhosle"
O Nigahe Mastana,Paying Guest,"Kishore Kumar, Asha Bhosle"
Ek Pardesi Mera Dil Le Gaya,Phagun,"Asha Bhosle, Mohammed Rafi"
Ankhon Se Jo Utri Hai Dil Men,Phir Wohi Dil Laya Hoon,Asha Bhosle
Hamdam Mere,Phir Wohi Dil Laya Hoon,"Mohammed Rafi, Asha Bhosle"
Chain Se Hamko Kabhi,Pran Jaye Par Vachan,"Na Jaye, Asha Bhosle"
Kisi Pe Dil Agar Aa Jaye To,Rafoo Chakkar,"Asha Bhosle, Shailendra Singh"
Aasman Se Ek Sitara,Rahi Badal Gaye,"Asha Bhosle, R.D. Burman"
Jab Andhera Hota Hai,Raja Rani,"Asha Bhosle, Bhupinder Singh"
Bhagi Re Bhagi Brij Bala,Rajput,"Asha Bhosle, Mahendra, Kapoor, Manhar Udhas, Dilraj Kaur"
Yaar Ki Khabar Mil Gai,Ram Balram,"Asha Bhosle, Kishore Kumar"
Sajna Hai Mujhe Sajna Ke Liye,Saudagar,Asha Bhosle
O Sathi Chal,Seeta Aur Geeta,"Asha Bhosle, Kishore Kumar"
Intaha Ho Gai Intezar Ki,Sharaabi,"Kishore Kumar, Asha Bhosle"
Inteha Ho Gai,Sharaabi,"Kishore Kumar, Asha Bhosle"
Mujhe Naulakha Mangawa De Re,Sharaabi,"Asha Bhosle, Kishore Kumar"
Neend Churake Raaton Mein,Shareef Badmaash,"Asha Bhosle, Kishore Kumar"
Reshmi Ujala Hai Makhmali Andhera,Sharmilee,Asha Bhosle
Parde Mein Rahne Do,Shikar,Asha Bhosle
Mud Mud Ke Na Dekh Mud Mud Ke,,"Asha Bhosle, Manna Dey"
Mud Mud Ke Na Dekh Mud Mud Ke,Shree 420,"Asha Bhosle, Manna Dey"
Mausam Pyar Ka,Sitamgar,"Asha Bhosle, Kishore Kumar"
Yeh Saye Hain Yeh Duniya Hai,Sitara,Asha Bhosle
Ae Yaar Sun Yaari Teri,Suhaag,Mohammed Rafi
Main To Beghar Hoon,Suhaag,"Asha Bhosle, Shashi Kapoor"
Teri Rab Ne Bana Di Jodi,Suhaag,"Asha Bhosle, Mohammed"
Are Yaar Meri Tum Bhi Ho Ghazab,Teen Devian,"Kishore Kumar, Asha Bhosle"
Paan Khaye Saiyan Hamarao,Teesri Kasam,Asha Bhosle
Aaja Aaja Main Hoon Pyar Tera,Teesri Manzil,"Asha Bhosle, Mohammed Rafi"
O Haseena Zulfonwale Jane Jahan,Teesri Manzil,"Asha Bhosle, Mohammed Rafi"
O Mere Sona Re Sona,Teesri Manzil,"Asha Bhosle, Mohammed Rafi"
Mujhe Rang De,Thakshak,Asha Bhosle
Pal Do Pal Ka Saath Humara,The Burning Train,"Mohammed Rafi, Asha Bhosle"
Do Lafzon Ki Hai Dil Ki Kahani,The Great Gambler,"Asha Bhosle, Amitabh, Bachchan, Sharad Kumar"
O Diwanon Dil Sambhalo,The Great Gambler,Asha Bhosle
Pahle Pahle Pyar Ki Mulaqaten,Tumsa Nahin Dekha,"Asha Bhosle, Mohammed Rafi"
Pahle Pahle Pyar Ki Mulaqaten,The Great Gambler,"Kishore Kumar, Asha Bhosle"
Sar Par Topi Lal,Tumsa Nahin Dekha,"Asha Bhosle, Mohammed Rafi"
Dil Cheez Kya Hai,Umrao Jaan,Asha Bhosle
In Ankhon Ki Masti,Umrao Jaan,Asha Bhosle
Justuju Jiski Thi,Umrao Jaan,Asha Bhosle
Yeh Kya Jagah Hai Doston,Umrao Jaan,Asha Bhosle
Chanda Mama Door Ke,Vachan,Asha Bhosle
Udi Baba,Vidhaata,Asha Bhosle
Aage Bhi Jane Na Tu,Waqt,Asha Bhosle
Din Hai Bahar Ke,Waqt,"Asha Bhosle, Mahendra Kapoor"
Shokh Nazar Ki Bijliyan,Woh Kaun Thi,Asha Bhosle
Aap Ke Kamre Mein,Yaadon Ki Baaraat,"Asha Bhosle, Kishore Kumar"
Chura Liya Hai Tumne Jo Dil Ko,Yaadon Ki Baaraat,"Asha Bhosle, Mohammed Rafi"
Lekar Hum Diwana Dil,Yaadon Ki Baaraat,"Asha Bhosle, Kishore Kumar"
O Meri Soni Meri Tamanna,Yaadon Ki Baaraat,"Asha Bhosle, Kishore Kumar"
Kitni Haseen Hain Nasheeli,Yeh Nazdeekiyan,Asha Bhosle
Yehi Woh Jaga Hai Yehi Woh Fazayen,Yeh Raat Phir Na Aayegi,Asha Bhosle
Jalta Hai Jiya Mera,Zakhmee,"Kishore Kumar, Asha Bhosle"
Tum Bhi Chalo Hum Bhi Chale,Zameer,"Kishore Kumar, Asha Bhosle"
