Song,Film/Album,Artists
Bishwabeenarabe Bishwajan Mohichhe,Rabindra Sankalan,"Bani Tagore, Sumitra Roy"
Amra Nutan Praner Char,Rabindra Sankalan Shishu,Chorus
Bakulgandhe Bonya Elo,Rabindra Sankalan,Sunil Ghosh
Phagun Haoway Haoway,Rabindra Sankalan,Ila Mitra
Chokshe Amar Trishna,Rabindranath Tagore,Hemanta Mukherjee
Abar Sraban Hoye Ele Phire,Rabindranather Barshar,Sutapa Chakraborty
Ahobhan Ashilo Mahotsabe,Rabindranather Barshar,"Manoj Murali Nair, Manisha Murali Nair"
Akashtale Dale Dale Megh Je Deke Jay,Rabindranather Barshar,Kamalini Mukherjee
Amar Din Phuralo,Prakiti Rabindra Sangeet,Banani Ghosh
Amar Din Phuralo,Rabindranather Barshar,Bani Tagore
Bajramanik Diye Gantha,Nrityer Taletale Rabindra,Srabani Sen
Bajramanik Diye Gantha,Rabindranather Barshar,Srabani Sen
Dharanir Gaganer Milaner Chhande,Rabindranather Barshar,"Bani Tagore, Sumitra Roy"
Ei Sraban-Bela Badal-Jhara,Rabindranather Barshar,Suchitra Mitra
Eso Hey Eso Sajal Ghana,Rabindranather Barshar,Kamalini Mukherjee
Kanpichhe Deholata Tharo Tharo,Rabindranather Barshar,Swati Paul
Megher Pore Megh Jomechhe,Nrityer Taletale Rabindra,Lopamudra Mitra
Megher Pore Megh Jomechhe,Rabindranather Barshar,Lopamudra Mitra
Thamao Rimikijhimiki Barishan,Rabindranather Barshar,Samarpita Sarkar
"Dharani, Dure Cheye Keno Aaj",Rabindrasangeeter Dhara,Prasad Sen
Dole Dole Dole Premer Dolon - Chanapa,Rabindrasangeeter Dhara,Pijushkanti Sarkar
Ei Sakalbelar Badal- Andhare,Rabindrasangeeter Dhara,Roma Mazumder
Shraban Tumi Batase Kar,Rabindrasangeeter Dhara,Santosh Sengupta
Badal Dhara Holo Sara,Rabindrasangeeter Dhara,Tarun Banerjee
Tomar Mohan Rupe,Rabindrasangeeter Dhara,Ila Mitra
Baishakh He Mouni Tapas,Rabindrasangeeter Dhara,Amal Nag
