Song,Film/Album,Artists
Phuleswari Phuleswari,Phuleshwari,Hemanta Mukherjee
Tapur Tupur Brishti Jhare,Phuleshwari,Hemanta Mukherjee
Kashmire Noy Shilongeo Noy,Ga Gare Sandhya Mukherjee,Hemanta Mukherjee
Kashmire Noy Shilongeo Noy,Picnic,Manna Dey
Raag Je Tomar Misti,Pita Putra,Hemanta Mukherjee
Ami Sree Sree Bhajohori Manna,Pratham Kadam Phul,Manna Dey
Kon Se Alor Swapna Niye,Pratham Kadam Phul,Asha Bhosle
Aaj Milan Tithir Purnima Chand,Pratisodh,Kishore Kumar
Hoyto Amake Karo Mone,Pratisodh,Kishore Kumar
Nishiraat Banka Chand Akashe,Prithibi Amare Chay,"Asha Bhosle, Geeta Dutt"
Tumi Bina E Phagun,Prithibi Amare Chay,Geeta Dutt
Tomar Hasite Bodhu,Priyatama Mone Rekho,Kumar Sanu
Tomader Aasare Aaj,Proxy,Lata Mangeshkar
Chokhe Naame Brishti,Puja Hits Volume 84,"Geeta Dutt, Asha Bhosle"
Bhalo Kore Tumi Cheye Dekho,Puja Hits Volume 84,Lata Mangeshkar
Oi Gachher Patay Roder Jhikimiki,Raag Anurag,Lata Mangeshkar
Krishnakoli Ami Tarei Boli,Rabindra Sangeet Bengali,Suchitra Mitra
Chokshe Amar Trishna,Rabindranath Tagore,Hemanta Mukherjee
E Jeno Ajana Ek Path,Rajkanya,Shyamal Mitra
Bandha Dwarer Andhakare,Rajkumari,"Kishore Kumar, Asha Bhosle"
E Ki Holo,Rajkumari,Kishore Kumar
Jabo Ki Jabo Na,Rd Xclusive Collection,Asha Bhosle
"Bone Phagun, Mone Agun",S.D.Burman The Immortal,S.D.Burman
Abhimane Chole Jeo Na,Sabai To Sukhi Hotey Chai,Manna Dey
Chand Dekhte Giye Ami,Sabai To Sukhi Hotey Chai,Manna Dey
E To Raag Noy Go E Je Abhiman,Sabai To Sukhi Hotey Chai,Manna Dey
Ke Tumi Tandraharani,Sabai To Sukhi Hotey Chai,Manna Dey
O Chand Samle Rakho Jochhnake,Sabai To Sukhi Hotey Chai,Manna Dey
Sundari Go Dohai Dohai,Sabai To Sukhi Hotey Chai,Manna Dey
Baje Na Banshi,Sachin Dev Burman,S.D.Burman
Amar Shwapne Dekha Rajkanya,Sagarika,Shyamal Mitra
Dashabhuje Dashapraharanadharini,Samagra Shrinivas Khale,Arati Mukherjee
Runner,Sanchayan Hemanta,Hemanta Mukherjee
Tumi Ele Anek Diner Pare,Sanchayan Hemanta,Hemanta Mukherjee
Aar Deri Nei,Sangeetmoy Panchas,Tarun Banerjee
Eto Kanna Eto Noy Gaan,Sankalpa,Kishore Kumar
Ka Tabo Kanta,Sanyasi Raja,Hemanta Mukherjee
Kaharba Noy Dadra Bajao,Sanyasi Raja,Manna Dey
Ei Path Jodi Na Shes Hoy,Saptapadi,Hemanta Mukherjee
Oi Jhiri Jhiri Piyaler Kunje,Sera Pujor Gaan,Shyamal Mitra
Aar Dekona Sei Madhuname,Sera Shilpi Sera Gaan,Sandhya Mukherjee
Amay Prashna Kare Neel Dhrubatara,Sera Shilpi Sera Gaan,Hemanta Mukherjee
Banshi Shune Aar Kaj Nai,Sera Shilpi Sera Gaan,S.D.Burman
E Jhumri Re - Cholechhi Eka,Sera Shilpi Sera Gaan,Kishore Kumar
Mon Dilo Na Bondhu,Sera Shilpi Sera Gaan,S.D.Burman
Prem Ekbari Esechhilo Neerabe,Sera Shilpi Sera Gaan,Lata Mangeshkar
Amar Swapna Dekhar Duti Nayan,Sera Shilpi Sera Gaan,Suman Kalyanpur
