Song,Film/Album,Artists
Alo Je Aaj Gaan Korey Mor Prane Go,Swagatalaxshmi Hey Nutan,Swagatalakshmi Dasgupta
Amar Mukti Aloy Aloy,Swagatalaxshmi Hey Nutan,Swagatalakshmi Dasgupta
Bhoy Hote Tobo Abhoy Majhe,Swagatalaxshmi Hey Nutan,Swagatalakshmi Dasgupta
Hriday Amar Prakash Holo,Swagatalaxshmi Hey Nutan,Swagatalakshmi Dasgupta
Kothay Se Ushamoyee Pratima,Swami Vivekanander Priyo,Hemanta Mukherjee
Apon Hote Bahir Hoye,Swapna,Rakhi Sen
"Nath Hey, Prempathe Sab Badha",Swapner Aabhase Rezwana,Rezwana Chowdhury Bannya
Agnibina Bajao Tumi Kemon Kore,Syandhyarag,Dwijen Mukherjee
Aar Kato Dure Achhe Se Anandadham,Tabu Ananta Jage,Suchitra Mitra
Amar Jabar Belate,Tabu Ananta Jage,Suchitra Mitra
Kon Alote Praner Pradip,Tabu Money Rekho,Suchitra Mitra
Amal Kamal Sahaje Jaler Kole,Tagore Songs,Purba Dam
Prane Gaan Nai,Tagore Songs,Sumitra Ghosh
Amay Mukti Jodi Dao Bandhan Khule,Tagore Songs Bengali,Suchitra Mitra
Amay Dao Go Bole Dao Go Bole,Tagore Songs By Sudeshna,Kamalini Mukherjee
Aar Rekho Na Andhare,Tagore Songs Hamanta,Hemanta Mukherjee
Amar Aar Habe Na Deri,Tagore Songs Hamanta,Hemanta Mukherjee
Din Jodi Holo Abasan,Tagore Songs Hamanta,Hemanta Mukherjee
Jakhan Tumi Bandhchhile Taar,Tagore Songs Hamanta,Hemanta Mukherjee
Klanti Amar Khama Karo,Tagore Songs Hamanta,Hemanta Mukherjee
Harashe Jago Aaji,Tagore Songs Krishna,Krishna Guhathakurata
Harashe Jago Aaji,Tagore Songs Krishna Guhathakurata Swapna Ghosal,Krishna Guhathakurata
Ami Bahu Basanay Pranpane Chai,Tagore Songs Purba Dam,Purba Dam
Alo Amar Alo Ogo,Tagore Songs Sriradha,"Indranil Sen, Sreeradha Banerjee"
Keno Tomra Amai Dako,Tagore Songs Sriradha,Indranil Sen
More Daki Loye Jao,Tagore Songs Sriradha,Indranil Sen
Tumi Dak Diyechho Kon Sakale,Tagore Songs Sriradha,Indranil Sen
Kon Khela Je Khelbo Kakhon,Tomar Abhishar Shreya,Shreya Guhathakurta
Tai Tomar Ananda Amar Paar,Tomar Amrita Sagar Majhare,Hemanta Mukherjee
Aaji Marmardhwani Keno Jagilo Re,Tomar Amrito Saghar,Hemanta Mukherjee
Amar Ei Path Chaoyatei Ananda,Tomar Amrito Saghar,Hemanta Mukherjee
Ebar Nirab Kore Dao Hey Tomar Mukhar,Tomar Amrito Saghar,Hemanta Mukherjee
Kon Se Jharer Bhul,Tomar Surer Pratidhwani,Koel Adhikary
Tar Anto Nai Go,Tomare Kori Nibedan,Unmana Dutta
Amar Sakal Kanta Dhanya Kore,Tomare Paai Gaane Various,Supriti Ghosh
Chhinnapatar Sajai Taranee,Top 50 Bengali Tagore,Sumitra Sen
Edin Aaji Kon Ghore Go,Top 50 Bengali Tagore,Sumitra Sen
Seemar Majhe Ashim Tumi,Tridhara Srabani Sen,Srabani Sen
Aaji Bohichhe Bashanta Pabon,Tumi Ki Keboli Chabi Selina,Selina Malek
Aaji Bohichhe Bashanta Pabon,Tumi Amari,Biswarup Rudra
Aman Aaral Diye Lukiye Geley,Tumi Dhanya Dhanya Hey,Sumitra Roy
Amar Mon Tumi Nath,Tumi Ki Keboli Chabi Selina,Selina Malek
Amar Abhimaner Badale Aaj,Twelve Gems From Tagore,Dwijen Mukherjee
Amar Je Sab Dite Hobe,Twelve Gems From Tagore,Kanika Banerjee
Anandaloke Mangalaloke,Rabindrasangeet,Subir Sen
Amar Bela Je Jai,Baro Asha Kore Ese Chigo,Asha Bhosle
Purano Sei Diner Kotha,Agnishwar,Hemanta Mukherjee
